PROJECT LAYOUT REPORT
════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
Module                         | Struct/Enum/Type          | Trait                | Impl            | Function                                                               | Branch     | State     
                               |                           |                      |                 | summary(self) -> std::io::Result                                       | 0.00       | -0.00     
                               |                           |                      |                 | replay(self, _start_epoch: u32) -> std::io::Result                     | 0.00       | -0.00     
                               |                           |                      |                 | current_offset(self) -> std::io::Result                                | 1.00       | -0.00     
crate::tlog::tlog              |                           |                      | N/A             | delta_hash(delta: &Delta) -> String                                    | 4.80       | 0.00      
crate::tlog::tlog              |                           |                      | N/A             | check_log_version(reader: &mut BufReader) -> std::io::Result           | 4.00       | 0.00      
crate::tlog::tlog              |                           |                      | N/A             | base_delta() -> Delta                                                  | 0.50       | -0.00     
crate::tlog::tlog              |                           |                      | N/A             | dummy_admission_proof() -> AdmissionProof                              | 0.00       | -0.00     
crate::tlog::tlog              |                           |                      | N/A             | append_with_valid_admission_proof_succeeds()                           | 0.00       | -0.00     
crate::tlog::tlog_compression  | CompressionMode           |                      |                 |                                                                        |            |           
crate::tlog::tlog_compression  | CompressionStats          |                      |                 |                                                                        |            |           
crate::tlog::tlog_compression  |                           |                      | N/A             | encode_rle(mask: &Self) -> Vec                                         | 9.30       | 0.00      
crate::tlog::tlog_compression  |                           |                      | N/A             | decode_rle(encoded: &Self, output: &mut Self)                          | 10.59      | 0.00      
crate::tlog::tlog_compression  |                           |                      | N/A             | bitpack_mask(mask: &Self) -> Vec                                       | 5.80       | 0.00      
crate::tlog::tlog_compression  |                           |                      | N/A             | bitunpack_mask(packed: &Self, output: &mut Self)                       | 5.80       | 0.00      
crate::tlog::tlog_compression  |                           |                      | N/A             | compress_delta_mask(mask: &Self, mode: CompressionMode) -> (Vec, Co... | 1.58       | -0.00     
crate::tlog::tlog_compression  |                           |                      | N/A             | compact(deltas: &Self) -> Vec                                          | 10.80      | 0.00      
crate::tlog::tlog_replay       |                           |                      | N/A             | apply_log(pages: &mut Self, deltas: &Self)                             | 5.80       | 0.00      
crate::tlog::tlog_serializa... |                           |                      | N/A             | read_log(path: Self) -> std::io::Result                                | 18.30      | 0.00      
crate::truth::invariant_che... | InvariantContext          |                      |                 |                                                                        |            |           
crate::truth::invariant_che... | struct InvariantResult    |                      | InvariantResult | ok(name: &static str) -> Self                                          | 0.00       | -0.00     
                               |                           |                      |                 | fail(name: &static str, msg: Self) -> Self                             | 0.00       | -0.00     
crate::truth::invariant_che... | struct EpochMonotonicity  | Invariant            | Invariant       | name(self) -> &static str                                              | 0.00       | -0.00     
                               |                           |                      |                 | check(self, ctx: &InvariantContext) -> InvariantResult                 | 7.80       | 0.00      
crate::truth::invariant_che... | struct PageConsistency    | Invariant            | Invariant       | name(self) -> &static str                                              | 0.00       | -0.00     
                               |                           |                      |                 | check(self, ctx: &InvariantContext) -> InvariantResult                 | 6.30       | -0.00     
crate::truth::invariant_che... | struct GraphAcyclicity    |                      | GraphAcyclicity | new() -> Self                                                          | 0.00       | -0.00     
                               |                           | Default              | Default         | default() -> Self                                                      | 0.00       | -0.00     
                               |                           | Invariant            | Invariant       | name(self) -> &static str                                              | 0.00       | -0.00     
                               |                           |                      |                 | check(self, ctx: &InvariantContext) -> InvariantResult                 | 2.50       | -0.00     
crate::truth::invariant_che... | struct InvariantChecker   |                      | InvariantChe... | new() -> Self                                                          | 0.00       | -0.00     
                               |                           |                      |                 | with_builtins() -> Self                                                | 0.00       | 0.00      
                               |                           |                      |                 | register<I>(self, invariant: I)                                        | 0.00       | -0.00     
                               |                           |                      |                 | run(self, ctx: &InvariantContext) -> Vec                               | 0.00       | -0.00     
crate::truth::invariant_che... |                           | Invariant            |                 | name(self) -> &static str                                              |            |           
crate::truth::invariant_che... |                           | Invariant            |                 | check(self, ctx: &InvariantContext) -> InvariantResult                 |            |           
crate::truth::invariant_che... |                           |                      | N/A             | validate_metadata_blob(blob: &Self) -> Result                          | 8.80       | 0.00      
crate::truth::invariant_che... |                           |                      | N/A             | read_u32(blob: &Self, cursor: &mut usize) -> Result                    | 1.50       | -0.00     
crate::truth::invariant_che... |                           |                      | N/A             | read_bytes(blob: &Self, cursor: &mut usize, len: usize) -> Result      | 1.50       | -0.00     
crate::truth::invariant_che... |                           |                      | N/A             | epoch_invariant_detects_regressions()                                  | 0.00       | 0.00      
crate::truth::invariant_che... |                           |                      | N/A             | graph_acyclicity_detects_cycles()                                      | 0.00       | 0.00      
crate::truth::provenance_tr... | ProvenanceResult          |                      |                 |                                                                        |            |           
crate::truth::provenance_tr... | struct ProvenanceTracker  |                      | ProvenanceTr... | new(graph: Arc) -> Self                                                | 0.00       | -0.00     
                               |                           |                      |                 | with_capacity(graph: Arc, capacity: usize, depth_limit: usize) -> Self | 0.00       | -0.00     
                               |                           |                      |                 | resolve(self, page_id: PageID) -> ProvenanceResult                     | 1.50       | -0.00     
                               |                           |                      |                 | resolve_uncached(self, page_id: PageID) -> Vec                         | 17.39      | 0.00      
                               |                           |                      |                 | insert_cache(self, key: PageID, chain: Vec)                            | 6.80       | 0.00      
crate::truth::provenance_tr... |                           |                      | N/A             | resolves_chain_with_depth_limit()                                      | 0.00       | -0.00     
crate::truth::provenance_tr... |                           |                      | N/A             | cache_does_not_grow_unbounded()                                        | 4.80       | -0.00     
════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
